     Done in : 0:05:55.404446 for 2020-08-31 20:00:01
         15406893 function calls (15404931 primitive calls) in 390.855 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1583    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:429(_format_parsed_parts)
      437    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      758    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
        5    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/abstracts.py:521(config)
      760    0.000    0.000    0.002    0.000 <frozen posixpath>:416(abspath)
       12    0.000    0.000    6.818    0.568 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:616(wait)
       22    0.000    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1681(getframeinfo)
       93    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       21    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:180(_server_status)
      104    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:281(__exit__)
       91    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:290(_acquire_restore)
      760    0.000    0.000    0.001    0.000 <frozen posixpath>:408(normpath)
      379    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:580(is_set)
      760    0.000    0.000    0.000    0.000 {built-in method posix._path_normpath}
      755    0.000    0.000    0.008    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:853(exists)
       22    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/inspect.py:1067(findsource)
       76    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/collections/__init__.py:457(_replace)
        6    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:549(fetch_eof_columns)
       75    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/cursor_cext.py:768(column_names)
        5    0.000    0.000    0.009    0.002 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/mysql/connector/connection_cext.py:243(_open_connection)
      755    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/pathlib.py:749(is_absolute)
      104    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py:278(__enter__)
       73    0.000    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/importlib_metadata/__init__.py:848(read_text)
       91    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
