DAT;RR;RRI;FF;DD;FXI;DXI;T;TD;U;PMER;UV;RAD;IC;WINDCHILL
25/02/2015-11:45;0.0;0.0;9.7;135.0;20.9;None;29.3;21.8;64.0;1009.52;8.0;627.0;32.3;29.3
25/02/2015-11:50;0.0;0.0;8.0;90.0;17.7;None;29.1;22.4;67.0;1009.38;9.0;622.0;32.4;29.1
25/02/2015-11:55;0.0;0.0;6.4;135.0;14.5;None;29.5;23.0;68.0;1009.28;13.0;1245.0;33.4;29.5
25/02/2015-12:00;0.0;0.0;8.0;68.0;24.1;None;29.8;23.3;68.0;1009.25;13.0;1207.0;34.2;29.8
25/02/2015-12:05;0.0;0.0;11.3;68.0;22.5;None;29.9;22.9;66.0;1009.21;13.0;1168.0;33.9;29.9
25/02/2015-12:10;0.0;0.0;9.7;68.0;22.5;None;29.9;23.1;67.0;1009.01;13.0;1132.0;34.1;29.9
25/02/2015-12:15;0.0;0.0;11.3;90.0;19.3;None;30.0;22.7;65.0;1008.91;13.0;1104.0;33.9;30.0
25/02/2015-12:20;0.0;0.0;9.7;112.0;19.3;None;29.8;22.6;65.0;1008.91;13.0;1074.0;33.5;29.8
25/02/2015-12:25;0.0;0.0;11.3;68.0;25.7;None;29.4;23.1;69.0;1008.74;13.0;1058.0;33.4;29.4
25/02/2015-12:30;0.0;0.0;11.3;90.0;22.5;None;29.6;23.4;69.0;1008.7;13.0;1070.0;33.9;29.6
25/02/2015-12:35;0.0;0.0;9.7;90.0;19.3;None;29.8;23.5;69.0;1008.74;12.0;1062.0;34.3;29.8
25/02/2015-12:40;0.0;0.0;9.7;135.0;17.7;None;29.9;23.9;70.0;1008.67;12.0;1086.0;34.8;29.9
25/02/2015-12:45;0.0;0.0;11.3;90.0;22.5;None;29.7;23.2;68.0;1008.64;13.0;1053.0;33.9;29.7
25/02/2015-12:50;0.0;0.0;14.5;68.0;27.4;None;29.2;23.2;70.0;1008.53;9.0;846.0;33.1;29.2
25/02/2015-12:55;0.0;0.0;12.9;112.0;22.5;None;28.9;22.7;69.0;1008.43;7.0;377.0;32.4;28.9
25/02/2015-13:00;0.0;0.0;11.3;90.0;29.0;None;28.6;22.9;71.0;1008.4;6.0;337.0;32.1;28.6
25/02/2015-13:05;0.0;0.0;6.4;90.0;14.5;None;28.4;22.9;72.0;1008.36;6.0;359.0;31.9;28.4
25/02/2015-13:10;0.0;0.0;6.4;90.0;19.3;None;28.4;22.7;71.0;1008.3;7.0;393.0;31.6;28.4
25/02/2015-13:15;0.0;0.0;6.4;90.0;17.7;None;28.7;22.9;71.0;1008.26;9.0;636.0;32.2;28.7
25/02/2015-13:20;0.0;0.0;11.3;90.0;24.1;None;28.6;22.6;70.0;1008.13;6.0;426.0;31.8;28.6
25/02/2015-13:25;0.0;0.0;6.4;112.0;17.7;None;28.6;22.9;71.0;1008.13;6.0;401.0;32.1;28.6
25/02/2015-13:30;0.0;0.0;8.0;90.0;19.3;None;28.7;23.0;71.0;1008.03;8.0;433.0;32.3;28.7
25/02/2015-13:35;0.0;0.0;9.7;68.0;20.9;None;29.0;23.0;70.0;1008.06;9.0;567.0;32.7;29.0
25/02/2015-13:40;0.0;0.0;8.0;90.0;20.9;None;29.1;23.1;70.0;1007.99;10.0;475.0;32.8;29.1
25/02/2015-13:45;0.0;0.0;9.7;90.0;17.7;None;28.9;23.2;71.0;1007.89;6.0;396.0;32.8;28.9
25/02/2015-13:50;0.0;0.0;9.7;68.0;25.7;None;28.7;22.7;70.0;1007.96;6.0;394.0;32.1;28.7
25/02/2015-13:55;0.0;0.0;9.7;90.0;17.7;None;28.6;22.8;71.0;1007.96;5.0;347.0;31.9;28.6
25/02/2015-14:00;0.0;0.0;9.7;112.0;20.9;None;28.5;23.0;72.0;1007.96;6.0;394.0;32.0;28.5
25/02/2015-14:05;0.0;0.0;9.7;90.0;22.5;None;28.5;23.0;72.0;1007.79;6.0;483.0;32.0;28.5
25/02/2015-14:10;0.0;0.0;6.4;68.0;16.1;None;28.7;23.4;73.0;1007.62;6.0;478.0;32.5;28.7
25/02/2015-14:15;0.0;0.0;8.0;90.0;17.7;None;28.6;22.9;71.0;1007.72;6.0;412.0;32.1;28.6
25/02/2015-14:20;0.0;0.0;6.4;112.0;14.5;None;28.7;22.9;71.0;1007.55;5.0;411.0;32.2;28.7
25/02/2015-14:25;0.0;0.0;9.7;135.0;24.1;None;28.6;23.3;73.0;1007.55;7.0;480.0;32.4;28.6
25/02/2015-14:30;0.0;0.0;9.7;112.0;17.7;None;28.4;23.2;73.0;1007.52;6.0;366.0;32.0;28.4
25/02/2015-14:35;0.0;0.0;8.0;112.0;17.7;None;28.4;23.2;73.0;1007.45;7.0;391.0;32.0;28.4
25/02/2015-14:40;0.0;0.0;8.0;112.0;17.7;None;28.5;22.3;69.0;1007.45;5.0;407.0;31.5;28.5
25/02/2015-14:45;0.0;0.0;8.0;90.0;17.7;None;28.7;22.7;70.0;1007.35;6.0;533.0;32.0;28.7
25/02/2015-14:50;0.0;0.0;9.7;90.0;19.3;None;28.4;22.2;69.0;1007.35;5.0;262.0;31.4;28.4
25/02/2015-14:55;0.0;0.0;11.3;112.0;20.9;None;28.3;22.5;71.0;1007.42;5.0;288.0;31.4;28.3
25/02/2015-15:00;0.0;0.0;6.4;68.0;12.9;None;28.2;22.5;71.0;1007.25;5.0;336.0;31.2;28.2
25/02/2015-15:05;0.0;0.0;8.0;112.0;16.1;None;28.3;22.5;71.0;1007.32;4.0;243.0;31.4;28.3
25/02/2015-15:10;0.0;0.0;4.8;90.0;11.3;None;28.3;22.5;71.0;1007.25;4.0;262.0;31.4;28.3
25/02/2015-15:15;0.0;0.0;8.0;112.0;17.7;None;28.2;22.4;71.0;1007.25;3.0;260.0;31.1;28.2
